	id	title	local	subway	distance	walk
419	462	보르고 와인 스튜디오	성수동	뚝섬역	616.0	3
476	463	에바스	성수동	뚝섬역	427.0	2
405	464	단길	성수동	뚝섬역	198.0	1
73	465	뚝도상회	성수동	성수역	442.0	2
157	466	에이돈	성수동	서울숲역	439.0	2
196	467	오카와리	성수동	뚝섬역	330.0	2
398	468	페이지스	성수동	성수역	277.0	1
13	469	수백당(성수점)	성수동	성수역	286.0	1
399	470	바 포스트스크립트 LCDC SEOUL	성수동	성수역	623.0	3
418	471	per week	성수동	뚝섬역	409.0	2
480	472	을지로골뱅이	성수동	성수역	103.0	1
96	473	성수완탕	성수동	성수역	266.0	1
392	474	파스트 팔레트 더 와인	성수동	성수역	290.0	1
411	475	마스	성수동	성수역	194.0	1
442	476	손수도니카이	성수동	성수역	707.0	3
274	477	손수도니카이	성수동	성수역	707.0	3
130	478	속초중앙시장해물짬뽕홍리마라탕	성수동	성수역	760.0	3
492	479	굿누리	성수동	뚝섬역	332.0	2
490	480	한강	성수동	서울숲역	869.0	4
461	481	케이지드	성수동	뚝섬역	259.0	1
417	482	Bunny	성수동	뚝섬역	450.0	2
495	483	호프카톡	성수동	서울숲역	889.0	4
472	484	성수펍	성수동	성수역	90.0	1
482	485	성수제맥주 슈가맨	성수동	성수역	740.0	3
333	486	삼옥	성수동	성수역	268.0	1
131	487	희래동	성수동	뚝섬역	209.0	1
491	488	초원	성수동	성수역	965.0	4
199	489	스시모리	성수동	서울숲역	57.0	1
487	490	아름호프	성수동	성수역	273.0	1
489	491	쏘쌩크	성수동	성수역	837.0	4
95	492	이윤	성수동	서울숲역	57.0	1
497	493	해성호프	성수동	성수역	35.0	1
486	494	비어앤비어스	성수동	성수역	152.0	1
493	495	간달프	성수동	성수역	779.0	3
496	496	크래프트마켓	성수동	성수역	746.0	3
464	497	포세이돈홀덤	성수동	뚝섬역	24.0	-1
420	498	루프와인	성수동	성수역	341.0	-1
421	499	컴인와인 성수점	성수동	뚝섬역	359.0	-1
129	500	중식이 맛있는 집 메이탄	성수동	서울숲역	143.0	-1
494	501	굿누리호프	성수동	성수역	766.0	-1
