	id	title	visitcount	reviewcount
400	418	키ki	57.0	18.0
38	419	삼선 회사랑	57.0	49.0
374	420	이지더즈잇	55.0	52.0
396	421	dxyz	51.0	37.0
425	422	타치노미바이토라	49.0	45.0
205	423	데판야끼현	49.0	16.0
436	424	데판야끼현	49.0	16.0
161	425	타치노미바이토라	49.0	45.0
414	426	세이지	49.0	35.0
306	427	버치커피	48.0	46.0
471	428	퍼멘티드 고스트	48.0	48.0
50	429	늘봄	48.0	39.0
204	430	곤카츠 GONKATSU	47.0	43.0
389	431	그룬트	47.0	43.0
159	432	후또후또	45.0	44.0
278	433	큐씨오	45.0	43.0
467	434	백이의	45.0	45.0
416	435	모어	44.0	45.0
72	436	호루몬규상	43.0	38.0
79	437	태양각	43.0	23.0
126	438	중국관	42.0	26.0
402	439	린 성수	41.0	41.0
294	440	뉴앳던 NEW AT DAWN	40.0	39.0
145	441	핫쵸 성수점	39.0	36.0
488	442	투데이호프	37.0	17.0
277	443	dooop	37.0	28.0
378	444	오일장	36.0	34.0
403	445	에보	35.0	35.0
386	446	퀴바라	35.0	24.0
435	447	아카보시	35.0	34.0
390	448	모이크	33.0	32.0
438	449	야끼도리정	33.0	27.0
169	450	오마카세 오사이초밥 성수점	32.0	32.0
412	451	라운지카니보	29.0	-1.0
409	452	바 차차	25.0	13.0
393	453	pvglab	25.0	25.0
433	454	현심야식당 성수점	24.0	23.0
154	455	현심야식당 성수점	23.0	23.0
216	456	더바투	23.0	22.0
485	457	머니뭐니 성수점	21.0	13.0
110	458	백리향중화요리	21.0	18.0
475	459	제이앤제이펍	20.0	-1.0
484	460	성공is100	19.0	13.0
127	461	남경관	17.0	-1.0
419	462	보르고 와인 스튜디오	17.0	-1.0
476	463	에바스	16.0	15.0
405	464	단길	16.0	16.0
73	465	뚝도상회	14.0	14.0
157	466	에이돈	14.0	14.0
196	467	오카와리	13.0	11.0
398	468	페이지스	13.0	13.0
13	469	수백당(성수점)	12.0	12.0
399	470	바 포스트스크립트 LCDC SEOUL	11.0	11.0
418	471	per week	11.0	10.0
480	472	을지로골뱅이	10.0	-1.0
96	473	성수완탕	10.0	10.0
392	474	파스트 팔레트 더 와인	9.0	-1.0
411	475	마스	8.0	-1.0
442	476	손수도니카이	8.0	-1.0
274	477	손수도니카이	8.0	-1.0
130	478	속초중앙시장해물짬뽕홍리마라탕	8.0	-1.0
492	479	굿누리	8.0	-1.0
490	480	한강	7.0	-1.0
461	481	케이지드	7.0	-1.0
417	482	Bunny	6.0	-1.0
495	483	호프카톡	6.0	-1.0
472	484	성수펍	6.0	-1.0
482	485	성수제맥주 슈가맨	6.0	-1.0
333	486	삼옥	5.0	-1.0
131	487	희래동	4.0	-1.0
491	488	초원	4.0	-1.0
199	489	스시모리	3.0	-1.0
487	490	아름호프	3.0	-1.0
489	491	쏘쌩크	2.0	-1.0
95	492	이윤	2.0	-1.0
497	493	해성호프	2.0	-1.0
486	494	비어앤비어스	1.0	-1.0
493	495	간달프	1.0	-1.0
496	496	크래프트마켓	1.0	-1.0
464	497	포세이돈홀덤	0.0	-1.0
420	498	루프와인	0.0	-1.0
421	499	컴인와인 성수점	0.0	-1.0
129	500	중식이 맛있는 집 메이탄	0.0	-1.0
494	501	굿누리호프	-1.0	-1.0
