	id	title	kind_big	kind_small	kind_detail
436	424	데판야끼현	술집	이자카야	이자카야
161	425	타치노미바이토라	맛집	일식	이자카야
414	426	세이지	술집	와인바	바(BAR)
306	427	버치커피	카페	카페	카페
471	428	퍼멘티드 고스트	술집	맥주집	맥주,호프
50	429	늘봄	맛집	한식	육류,고기요리
204	430	곤카츠 GONKATSU	맛집	일식	덮밥
389	431	그룬트	술집	와인바	와인
159	432	후또후또	맛집	일식	일식당
278	433	큐씨오	맛집	양식	양식
467	434	백이의	술집	맥주집	맥주,호프
416	435	모어	술집	와인바	바(BAR)
72	436	호루몬규상	맛집	한식	한식
79	437	태양각	맛집	중식	중식당
126	438	중국관	맛집	중식	중식당
402	439	린 성수	술집	와인바	와인
294	440	뉴앳던 NEW AT DAWN	카페	카페	카페,디저트
145	441	핫쵸 성수점	맛집	일식	일식당
488	442	투데이호프	술집	맥주집	맥주,호프
277	443	dooop	맛집	양식	양식
378	444	오일장	술집	와인바	와인
403	445	에보	술집	와인바	와인
386	446	퀴바라	술집	와인바	와인
435	447	아카보시	술집	이자카야	이자카야
390	448	모이크	술집	와인바	와인
438	449	야끼도리정	술집	이자카야	이자카야
169	450	오마카세 오사이초밥 성수점	맛집	일식	초밥,롤
412	451	라운지카니보	술집	와인바	바(BAR)
409	452	바 차차	술집	와인바	와인
393	453	pvglab	술집	와인바	와인
433	454	현심야식당 성수점	술집	이자카야	이자카야
154	455	현심야식당 성수점	맛집	일식	이자카야
216	456	더바투	맛집	양식	햄버거
485	457	머니뭐니 성수점	술집	맥주집	맥주,호프
110	458	백리향중화요리	맛집	중식	중식당
475	459	제이앤제이펍	술집	맥주집	맥주,호프
484	460	성공is100	술집	맥주집	맥주,호프
127	461	남경관	맛집	중식	중식당
419	462	보르고 와인 스튜디오	술집	와인바	주류
476	463	에바스	술집	맥주집	맥주,호프
405	464	단길	술집	와인바	와인
73	465	뚝도상회	맛집	한식	한식
157	466	에이돈	맛집	일식	일식당
196	467	오카와리	맛집	일식	일본식라면
398	468	페이지스	술집	와인바	바(BAR)
13	469	수백당(성수점)	맛집	한식	순대,순댓국
399	470	바 포스트스크립트 LCDC SEOUL	술집	와인바	바(BAR)
418	471	per week	술집	와인바	와인
480	472	을지로골뱅이	술집	맥주집	맥주,호프
96	473	성수완탕	맛집	중식	딤섬,중식만두
392	474	파스트 팔레트 더 와인	술집	와인바	와인
411	475	마스	술집	와인바	바(BAR)
442	476	손수도니카이	술집	이자카야	양식
274	477	손수도니카이	맛집	양식	양식
130	478	속초중앙시장해물짬뽕홍리마라탕	맛집	중식	중식당
492	479	굿누리	술집	맥주집	맥주,호프
490	480	한강	술집	맥주집	맥주,호프
461	481	케이지드	술집	맥주집	맥주,호프
417	482	Bunny	술집	와인바	와인
495	483	호프카톡	술집	맥주집	맥주,호프
472	484	성수펍	술집	맥주집	맥주,호프
482	485	성수제맥주 슈가맨	술집	맥주집	맥주,호프
333	486	삼옥	카페	카페	카페,디저트
131	487	희래동	맛집	중식	중식당
491	488	초원	술집	맥주집	맥주,호프
199	489	스시모리	맛집	일식	일식당
487	490	아름호프	술집	맥주집	맥주,호프
489	491	쏘쌩크	술집	맥주집	맥주,호프
95	492	이윤	맛집	중식	중식당
497	493	해성호프	술집	맥주집	맥주,호프
486	494	비어앤비어스	술집	맥주집	맥주,호프
493	495	간달프	술집	맥주집	맥주,호프
496	496	크래프트마켓	술집	맥주집	맥주,호프
464	497	포세이돈홀덤	술집	맥주집	맥주,호프
420	498	루프와인	술집	와인바	와인
421	499	컴인와인 성수점	술집	와인바	주류
129	500	중식이 맛있는 집 메이탄	맛집	중식	중식당
494	501	굿누리호프	술집	맥주집	맥주,호프
